page,title,description,bedrooms,bathrooms,toilets,garage,location,city,price
1,An Exquisite And Luxurious 3 Bedroom Apartment,3 bedroom flat / apartment for rent,3,3,4,3,"Ikoyi, Lagos",Ikoyi,15000000
1,2bedroom Apartment,2 bedroom flat / apartment for rent,2,2,3,0,"Oniru, Oniru, Victoria Island (VI), Lagos",Victoria Island,3500000
1,Executive 3 Bedroom Flat Serviced Apartment,3 bedroom flat / apartment for rent,3,3,3,2,"Prime Water Garden, Ikate, Lekki, Lagos",Lekki,4000000
1,Fantastic 1 Bedroom Mini Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,0,"Lekki Palm City, Ajah, Lagos",Ajah,1000000
1,Luxury,4 bedroom flat / apartment for rent,4,3,4,0,"Old Ikoyi, Ikoyi, Lagos",Ikoyi,12000000
1,Sweet 2 Bedroom Flat With Excellent Facilities,2 bedroom flat / apartment for rent,2,2,3,0,"Lekki Palm City, Ajah, Lagos",Ajah,1500000
1,Lovely 3 Bedroom Flat Two In A Compound,3 bedroom flat / apartment for rent,3,3,4,8,"Near Channels Television, Opic, Isheri North, Lagos",North,2000000
1,New 3 Bedroom Apartment + Bq & Elevator,3 bedroom flat / apartment for rent,3,3,4,0,"Right Hand Side, Lekki Phase 1, Lekki, Lagos",Lekki,5000000
1,2 Bedroom Flat,2 bedroom flat / apartment for rent,2,1,2,0,"Lekki, Lagos",Lekki,3000000
1,3 Bedroom Serviced Flat Lekki-phase-1,3 bedroom flat / apartment for rent,3,3,4,2,"Lekki Phase 1, Lekki, Lagos",Lekki,4500000
1,Luxury 3 Bedroom Apartment With Excellent Facilities,3 bedroom flat / apartment for rent,3,3,4,2,"Immediately After Lagos Business School, Ajah, Lagos",Ajah,1600000
1,Spacious Serviced Miniflat With Two Toilets And Bath,1 bedroom mini flat (room and parlour) for rent,1,1,1,0,"Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",Lekki,2200000
1,Fully Furnished Three Bedroom Apartment,3 bedroom flat / apartment for rent,3,2,4,0,"Oniru, Victoria Island (VI), Lagos",Victoria Island,8000000
1,Luxury Furnished 2 Bedroom Flat,2 bedroom flat / apartment for rent,2,2,3,0,"Victoria Island (VI), Lagos",Victoria Island,7000000
1,Luxury 3-bedroom Flat,3 bedroom flat / apartment for rent,3,3,4,4,"Shonny Highway, Shonibare Estate, Maryland, Maryland, Lagos",Maryland,7000000
1,Luxury 3 Bedroom Apartment With Excellent Facilities,3 bedroom flat / apartment for rent,3,3,4,2,"Immediately After Lagos Business School, Ajah, Lagos",Ajah,1400000
1,Luxury 2 Bedroom Apartment With Excellent Facilities,2 bedroom flat / apartment for rent,2,2,3,3,"Immediately After Lagos Business School, Ajah, Lagos",Ajah,1400000
1,"Top Floor New & Fresh 4 Bedroom Apartment + Bq,pool,gym,elevator",4 bedroom flat / apartment for rent,4,4,5,2,"Parkview, Ikoyi, Lagos",Ikoyi,13000000
1,Fresh & New 4 Bedroom Apartment +bq+24/7 Power+security,4 bedroom flat / apartment for rent,4,4,5,2,"Ikoyi, Lagos",Ikoyi,12000000
1,A Decent 2 Bedroom Flat,2 bedroom flat / apartment for rent,2,1,2,0,"Abule Ijesha, Yaba, Lagos",Yaba,700000
1,Luxury 2 Bedroom Apartment With Excellent Facilities,2 bedroom flat / apartment for rent,2,2,3,6,"Abijo, Ibeju Lekki, Lagos",Lekki,1000000
