iter	RMSE
0	3886948.011
1	3856080.918
2	3825973.621
3	3796201.651
4	3766818.097
5	3737008.036
6	3708421.152
7	3680487.96
8	3652515.418
9	3625009.818
10	3597203.186
11	3569970.355
12	3542980.889
13	3516291.239
14	3490839.564
15	3464202.843
16	3437229.848
17	3412902.5
18	3387526.188
19	3363077.696
20	3339011.818
21	3313346.509
22	3289348.515
23	3265486.286
24	3241584.601
25	3217646.713
26	3193412.99
27	3170496.043
28	3147908.334
29	3128932.973
30	3105958.332
31	3084138.517
32	3063049.137
33	3041187.922
34	3019780.627
35	2999343.972
36	2979656.61
37	2959669.404
38	2938671.193
39	2919151.924
40	2898851.342
41	2880146.396
42	2861141.316
43	2842738.314
44	2825119.385
45	2806310.346
46	2787999.313
47	2769796.862
48	2751250.312
49	2733639.626
50	2716539.486
51	2699519.604
52	2682325.611
53	2666864.047
54	2651603.208
55	2636507.054
56	2619922.565
57	2602880.102
58	2586123.282
59	2569662.087
60	2555257.486
61	2540087.481
62	2525017.906
63	2510244.615
64	2494662.695
65	2479607.103
66	2465377.895
67	2450744.122
68	2435999.855
69	2424491.011
70	2410474.488
71	2397330.899
72	2384605.817
73	2372859.186
74	2359546.321
75	2346561.887
76	2334185.306
77	2321490.779
78	2308650.375
79	2295706.078
80	2283122.261
81	2271220.594
82	2259925.741
83	2248920.134
84	2237110.634
85	2225513.745
86	2214166.638
87	2203008.425
88	2191897.205
89	2180660.293
90	2170079.37
91	2158928.526
92	2148252.356
93	2138107.947
94	2127511.516
95	2117140.756
96	2106736.422
97	2097212.216
98	2087918.468
99	2078510.499
100	2069129.123
101	2059937.364
102	2051445.056
103	2041957.842
104	2033774.182
105	2024827.505
106	2016217.274
107	2008045.111
108	1999566.04
109	1991617.287
110	1983418.262
111	1975537.982
112	1968076.187
113	1960188.726
114	1952724.689
115	1944924.58
116	1937842.708
117	1930297.302
118	1922868.206
119	1915576.437
120	1908147.708
121	1901638.414
122	1894712.852
123	1887708.893
124	1880983.034
125	1874664.994
126	1868496.847
127	1862216.208
128	1856329.943
129	1850039.578
130	1844264.67
131	1838364.106
132	1831992.04
133	1825893.989
134	1820019.796
135	1814122.597
136	1809353.472
137	1804608.935
138	1799744.022
139	1794339.993
140	1789362.695
141	1784624.3
142	1779602.172
143	1774654.647
144	1770491.429
145	1765517.566
146	1760994.404
147	1756022.514
148	1751326.888
149	1746557.259
150	1742025.743
151	1738290.812
152	1734048.212
153	1729624.291
154	1725011.013
155	1721189.144
156	1717129.328
157	1713814.47
158	1709837.561
159	1705824.058
160	1701942.182
161	1697901.441
162	1694160.063
163	1690853.921
164	1687554.714
165	1683673.206
166	1680269.058
167	1676807.96
168	1673123.302
169	1669720.824
170	1666345.731
171	1662975.937
172	1659520.772
173	1656617.56
174	1653444.699
175	1650299.183
176	1647832.136
177	1644866.876
178	1641797.028
179	1638954.511
180	1636384.226
181	1633585.416
182	1630765.886
183	1628108.502
184	1625344.613
185	1623120.996
186	1620186.358
187	1618418.759
188	1616121.006
189	1613955.133
190	1611437.194
191	1609016.105
192	1606358.356
193	1604334.536
194	1601778.543
195	1599541.7
196	1597487.522
197	1595152.247
198	1593219.279
199	1591126.764
200	1589061.963
201	1586663.198
202	1584319.61
203	1582329.788
204	1580332.734
205	1578170.498
206	1576273.77
207	1574363.767
208	1572759.282
209	1570930.867
210	1569032.557
211	1567028.815
212	1565198.345
213	1563499.246
214	1562054.795
215	1560294.123
216	1558664.173
217	1556751.063
218	1554996.324
219	1553455.529
220	1552333.054
221	1550627.4
222	1549179.507
223	1548117.773
224	1546374.049
225	1544859.452
226	1543473.863
227	1542394.231
228	1540990.965
229	1539388.62
230	1538033.189
231	1536471.765
232	1535365.217
233	1534353.755
234	1533239.456
235	1532091.627
236	1530634.629
237	1529326.015
238	1528205.018
239	1527158.085
240	1525606.247
241	1524551.844
242	1523338.116
243	1522387.418
244	1521253.372
245	1520166.599
246	1519112.98
247	1518129.347
248	1516937.006
249	1516020.251
250	1514985.341
251	1513904.733
252	1512978.378
253	1511950.452
254	1510971.532
255	1509994.035
256	1508938.399
257	1507839.336
258	1507125.494
259	1506393.664
260	1505258.084
261	1504269.197
262	1503321.374
263	1502480.688
264	1501685.962
265	1500830.393
266	1500212.358
267	1499274.456
268	1498328.414
269	1497746.49
270	1497115.321
271	1496410.062
272	1495784.099
273	1495025.212
274	1494224.855
275	1493451.026
276	1492575.086
277	1492034.777
278	1491177.258
279	1490445.455
280	1489788.436
281	1488977.367
282	1488376.676
283	1487549.864
284	1486828.44
285	1486192.102
286	1485757.955
287	1485055.724
288	1484381.149
289	1483608.445
290	1483021.544
291	1482431.813
292	1481807.753
293	1481083.906
294	1480252.833
295	1479992.349
296	1479544.469
297	1479005.127
298	1478375.272
299	1477681.419
300	1477189.938
301	1476774.139
302	1476409.836
303	1476163.65
304	1475535.663
305	1475124.71
306	1474704.094
307	1474197.883
308	1473863.432
309	1473501.614
310	1473055.827
311	1472682.971
312	1472287.572
313	1471808.586
314	1471228.734
315	1470681.78
316	1470209.469
317	1469885.24
318	1469279.157
319	1468945.024
320	1468452.147
321	1468024.76
322	1467612.48
323	1467184.92
324	1466792.094
325	1466404.552
326	1466129.572
327	1465784.84
328	1465741.783
329	1465594.158
330	1465198.893
331	1464734.306
332	1464293.89
333	1464041.433
334	1463531.353
335	1463299.234
336	1462962.41
337	1462813.058
338	1462545.669
339	1462179.204
340	1461841.931
341	1461420.962
342	1461160.891
343	1461033.545
344	1460682.508
345	1460244.913
346	1460128.992
347	1459944.818
348	1459548.921
349	1459504.458
350	1459247.262
351	1458962.662
352	1458858.211
353	1458820.406
354	1458447.205
355	1458408.473
356	1458208.622
357	1457616.672
358	1457462.776
359	1457163.255
360	1456908.381
361	1456501.33
362	1456235.153
363	1455985.024
364	1455694.694
365	1455355.116
366	1455114.361
367	1454891.661
368	1454565.606
369	1454516.649
370	1454189.114
371	1453905.062
372	1453813.19
373	1453529.216
374	1453491.718
375	1453435.449
376	1453401.084
377	1453363.854
378	1453023.144
379	1452781.018
380	1452640.681
381	1452420.367
382	1452197.408
383	1452163.331
384	1451953.633
385	1451914.438
386	1451651.322
387	1451279.966
388	1451135.787
389	1450906.018
390	1450623.148
391	1450279.229
392	1450090.949
393	1450058.427
394	1450019.075
395	1449825.692
396	1449575.217
397	1449452.921
398	1449379.695
399	1449266.782
400	1449188.527
401	1449117.859
402	1448947.284
403	1448760.373
404	1448468.643
405	1448313.586
406	1448226.329
407	1448052.637
408	1447814.765
409	1447780.665
410	1447661.861
411	1447356.485
412	1447235.745
413	1446948.946
414	1446857.857
415	1446821.741
416	1446621.444
417	1446283.675
418	1446005.95
419	1445780.874
420	1445752.015
421	1445564.027
422	1445455.488
423	1445391.938
424	1445283.42
425	1445231.629
426	1445157.722
427	1444981.401
428	1444797.732
429	1444511.659
430	1444407.225
431	1444211.832
432	1444125.047
433	1444015.957
434	1443973.308
435	1443835.061
436	1443749.866
437	1443645.651
438	1443611.588
439	1443396.505
440	1443104.679
441	1443076.762
442	1443050.933
443	1443019.712
444	1442992.525
445	1442920.509
446	1442731.046
447	1442601.399
448	1442429.199
449	1442401.219
450	1442376.342
451	1442350.266
452	1442086.123
453	1441925.409
454	1441651.046
455	1441378.451
456	1441197.21
457	1441082.812
458	1440942.115
459	1440916.527
460	1440881.558
461	1440847.512
462	1440767.072
463	1440646.914
464	1440620.528
465	1440423.62
466	1440400.018
467	1440108.335
468	1440006.89
469	1439870.029
470	1439719.239
471	1439573.387
472	1439469.345
473	1439333.625
474	1439306.449
475	1439118.699
476	1438856.194
477	1438827.924
478	1438755.981
479	1438614.494
480	1438449.882
481	1438411.976
482	1438320.313
483	1438102.907
484	1437843.299
485	1437816.197
486	1437652.388
487	1437369.837
488	1437209.826
489	1437116.198
490	1436940.986
491	1436667.601
492	1436433.652
493	1436283.32
494	1436075.478
495	1435820.056
496	1435617.504
497	1435348.335
498	1435163.045
499	1435083.308
500	1435059.705
501	1435010.158
502	1434868.65
503	1434746.297
504	1434645.432
505	1434615.642
506	1434475.829
507	1434314.269
508	1434080.825
509	1433976.951
510	1433851.99
511	1433667.746
512	1433632.619
513	1433451.518
514	1433425.616
515	1433407.07
516	1433366.355
517	1433165.913
518	1432946.721
519	1432832.902
520	1432706.819
521	1432690.611
522	1432611.409
523	1432426.302
524	1432397.612
525	1432283.849
526	1432249.653
527	1432209.246
528	1432120.023
529	1432088.569
530	1431834.544
531	1431719.281
532	1431642.596
533	1431479.723
534	1431362.935
535	1431286.291
536	1431104.875
537	1430979.564
538	1430891.89
539	1430859.685
540	1430740.933
541	1430618.109
542	1430493.7
543	1430467.081
544	1430339.291
545	1430322.084
546	1430223.862
547	1430124.986
548	1430062.684
549	1430011.809
550	1429947.174
551	1429747.589
552	1429568.405
553	1429334.301
554	1429313.811
555	1429296.431
556	1429155.232
557	1429034.135
558	1428964.991
559	1428820.864
560	1428766.092
561	1428677.671
562	1428506.068
563	1428374.115
564	1428354.953
565	1428252.153
566	1428100.292
567	1428047.181
568	1427927.477
569	1427811.404
570	1427790.756
571	1427708.186
572	1427642.897
573	1427625.08
574	1427608.404
575	1427432.911
576	1427323.964
577	1427211.019
578	1426941.51
579	1426918.499
580	1426814.008
581	1426797.978
582	1426771.826
583	1426747.335
584	1426717.067
585	1426522.634
586	1426454.507
587	1426205.291
588	1426129.497
589	1426005.047
590	1425879.176
591	1425692.37
592	1425636.416
593	1425621.791
594	1425479.646
595	1425303.062
596	1425164.707
597	1425066.299
598	1425034.268
599	1424996.759
600	1424950.36
601	1424864.545
602	1424655.673
603	1424506.236
604	1424369.647
605	1424134.989
606	1424067.151
607	1423928.225
608	1423884.014
609	1423728.243
610	1423710.063
611	1423655.183
612	1423551.257
613	1423355.425
614	1423297.105
615	1423187.931
616	1423125.476
617	1423026.191
618	1423001.722
619	1422873.045
620	1422722.916
621	1422678.932
622	1422548.305
623	1422462.527
624	1422450.396
625	1422320.899
626	1422303.102
