iter	Passed	Remaining
0	3	3907
1	6	3300
2	9	3081
3	12	2988
4	13	2637
5	16	2720
6	17	2538
7	20	2538
8	23	2559
9	26	2591
10	28	2525
11	29	2430
12	32	2439
13	35	2471
14	36	2374
15	38	2377
16	41	2416
17	43	2364
18	45	2366
19	48	2389
20	50	2360
21	53	2369
22	56	2398
23	59	2399
24	62	2427
25	64	2428
26	67	2438
27	70	2446
28	72	2443
29	74	2394
30	76	2397
31	79	2392
32	82	2404
33	84	2400
34	87	2411
35	88	2382
36	90	2343
37	92	2344
38	95	2353
39	96	2326
40	99	2324
41	101	2309
42	103	2309
43	106	2308
44	107	2282
45	110	2281
46	112	2279
47	115	2287
48	117	2288
49	120	2291
50	123	2291
51	125	2288
52	128	2292
53	130	2282
54	131	2254
55	131	2224
56	134	2229
57	137	2228
58	139	2228
59	142	2237
60	143	2214
61	146	2213
62	149	2221
63	151	2221
64	154	2228
65	157	2227
66	158	2211
67	161	2217
68	164	2219
69	165	2195
70	168	2199
71	170	2192
72	171	2173
73	172	2153
74	174	2156
75	177	2155
76	179	2154
77	182	2161
78	185	2159
79	188	2162
80	190	2163
81	193	2162
82	196	2168
83	198	2167
84	201	2170
85	204	2168
86	206	2168
87	209	2172
88	212	2171
89	214	2172
90	217	2170
91	219	2168
92	222	2172
93	225	2171
94	228	2172
95	230	2170
96	232	2168
97	235	2170
98	238	2167
99	240	2168
100	243	2167
101	245	2160
102	246	2150
103	249	2151
104	250	2138
105	253	2137
106	257	2150
107	260	2148
108	263	2153
109	265	2150
110	268	2152
111	271	2152
112	272	2142
113	275	2143
114	278	2141
115	281	2141
116	284	2144
117	286	2143
118	290	2148
119	292	2146
120	296	2153
121	297	2141
122	300	2140
123	302	2133
124	304	2134
125	306	2125
126	310	2131
127	312	2128
128	315	2132
129	319	2135
130	321	2133
131	324	2134
132	327	2136
133	332	2146
134	336	2154
135	338	2152
136	340	2142
137	342	2140
138	344	2133
139	346	2127
140	348	2124
141	350	2116
142	351	2107
143	352	2097
144	355	2094
145	358	2094
146	361	2094
147	364	2096
148	367	2097
149	370	2099
150	373	2097
151	377	2103
152	379	2101
153	383	2105
154	385	2102
155	388	2100
156	391	2100
157	392	2090
158	396	2096
159	398	2093
160	402	2097
161	404	2092
162	407	2090
163	409	2087
164	410	2078
165	413	2079
166	417	2080
167	419	2077
168	423	2081
169	425	2078
170	429	2083
171	432	2079
172	435	2081
173	438	2080
174	441	2082
175	444	2080
176	445	2071
177	449	2074
178	451	2069
179	454	2070
180	457	2069
181	460	2067
182	463	2068
183	465	2065
184	469	2068
185	471	2065
186	475	2066
187	476	2056
188	478	2052
189	481	2053
190	484	2050
191	487	2050
192	489	2048
193	492	2045
194	495	2045
195	497	2042
196	500	2041
197	503	2039
198	504	2031
199	507	2031
200	510	2028
201	513	2026
202	516	2026
203	518	2022
204	521	2022
205	523	2019
206	526	2017
207	528	2014
208	529	2005
209	532	2002
210	535	2002
211	537	1998
212	540	1998
213	542	1993
214	544	1987
215	547	1987
216	550	1985
217	552	1982
218	555	1982
219	558	1979
220	560	1974
221	563	1974
222	566	1973
223	568	1967
224	570	1964
225	574	1966
226	576	1964
227	577	1956
228	581	1956
229	583	1952
230	586	1950
231	589	1949
232	590	1942
233	591	1936
234	594	1936
235	597	1932
236	600	1932
237	602	1930
238	605	1928
239	607	1924
240	610	1921
241	612	1919
242	615	1918
243	617	1914
244	621	1915
245	623	1912
246	627	1911
247	629	1908
248	632	1906
249	635	1906
250	638	1906
251	641	1905
252	643	1900
253	647	1900
254	649	1897
255	652	1895
256	655	1894
257	657	1890
258	659	1887
259	662	1884
260	664	1882
261	667	1881
262	670	1877
263	673	1876
264	675	1874
265	678	1871
266	679	1866
267	682	1863
268	684	1861
269	686	1855
270	687	1849
271	689	1846
272	693	1846
273	695	1843
274	698	1842
275	701	1840
276	703	1837
277	706	1833
278	708	1831
279	711	1829
280	714	1828
281	716	1825
282	720	1824
283	722	1821
284	725	1820
285	728	1818
286	729	1812
287	732	1810
288	735	1808
289	737	1805
290	741	1806
291	743	1803
292	747	1803
293	750	1801
294	754	1802
295	755	1796
296	757	1793
297	760	1790
298	762	1787
299	765	1786
300	768	1784
301	770	1781
302	772	1775
303	773	1769
304	775	1766
305	778	1765
306	781	1763
307	783	1760
308	785	1757
309	786	1751
310	789	1748
311	791	1744
312	794	1742
313	796	1741
314	800	1740
315	803	1739
316	806	1737
317	807	1732
318	810	1731
319	813	1728
320	815	1724
321	819	1725
322	821	1722
323	825	1721
324	827	1719
325	831	1719
326	834	1716
327	837	1715
328	838	1710
329	839	1704
330	841	1701
331	845	1700
332	847	1697
333	850	1696
334	853	1693
335	854	1688
336	857	1686
337	858	1681
338	861	1678
339	864	1677
340	866	1673
341	868	1670
342	871	1669
343	873	1665
344	876	1664
345	879	1662
346	881	1659
347	885	1658
348	887	1655
349	888	1649
350	892	1649
351	894	1646
352	895	1642
353	896	1636
354	899	1634
355	900	1628
356	901	1623
357	905	1623
358	906	1619
359	908	1615
360	911	1612
361	913	1610
362	916	1607
363	919	1605
364	921	1602
365	924	1602
366	927	1599
367	930	1597
368	932	1595
369	933	1589
370	936	1588
371	939	1586
372	940	1581
373	943	1579
374	944	1574
375	945	1569
376	946	1563
377	946	1558
378	950	1556
379	953	1556
380	957	1554
381	959	1552
382	961	1548
383	962	1543
384	964	1540
385	964	1534
386	967	1532
387	971	1531
388	972	1527
389	974	1524
390	978	1523
391	980	1520
392	983	1519
393	984	1514
394	985	1509
395	988	1507
396	991	1506
397	993	1503
398	994	1498
399	998	1497
400	1000	1494
401	1003	1493
402	1005	1489
403	1008	1487
404	1011	1486
405	1013	1483
406	1016	1481
407	1019	1478
408	1021	1476
409	1023	1472
410	1025	1470
411	1028	1467
412	1030	1464
413	1032	1461
414	1035	1459
415	1036	1454
416	1038	1452
417	1041	1450
418	1044	1448
419	1047	1446
420	1048	1442
421	1051	1440
422	1052	1436
423	1056	1434
424	1058	1432
425	1060	1428
426	1063	1427
427	1065	1424
428	1068	1422
429	1071	1420
430	1074	1418
431	1077	1416
432	1079	1412
433	1081	1410
434	1083	1407
435	1085	1404
436	1089	1403
437	1091	1400
438	1092	1396
439	1095	1394
440	1098	1392
441	1099	1387
442	1099	1383
443	1100	1378
444	1102	1374
445	1103	1370
446	1106	1368
447	1109	1366
448	1111	1364
449	1112	1359
450	1113	1355
451	1113	1350
452	1117	1349
453	1119	1346
454	1123	1345
455	1125	1342
456	1128	1340
457	1131	1338
458	1133	1335
459	1133	1330
460	1135	1327
461	1137	1324
462	1138	1320
463	1141	1318
464	1143	1315
465	1145	1313
466	1146	1308
467	1150	1307
468	1152	1304
469	1155	1302
470	1158	1300
471	1159	1297
472	1161	1293
473	1165	1293
474	1166	1288
475	1169	1287
476	1171	1284
477	1172	1280
478	1175	1278
479	1178	1276
480	1181	1274
481	1182	1271
482	1184	1267
483	1186	1265
484	1190	1263
485	1190	1259
486	1193	1256
487	1196	1255
488	1198	1252
489	1199	1248
490	1202	1246
491	1205	1244
492	1207	1242
493	1210	1240
494	1213	1237
495	1216	1236
496	1218	1233
497	1222	1231
498	1224	1229
499	1227	1227
500	1228	1223
501	1231	1221
502	1233	1219
503	1237	1217
504	1239	1215
505	1241	1211
506	1243	1209
507	1245	1206
508	1248	1204
509	1251	1202
510	1253	1199
511	1256	1197
512	1257	1194
513	1260	1192
514	1261	1188
515	1262	1183
516	1264	1181
517	1266	1178
518	1269	1176
519	1271	1174
520	1274	1172
521	1275	1167
522	1277	1165
523	1280	1162
524	1280	1158
525	1283	1156
526	1284	1153
527	1287	1150
528	1288	1147
529	1289	1143
530	1292	1141
531	1295	1139
532	1297	1136
533	1300	1134
534	1301	1131
535	1304	1129
536	1307	1126
537	1309	1124
538	1312	1122
539	1313	1118
540	1315	1116
541	1318	1113
542	1321	1111
543	1322	1108
544	1324	1105
545	1325	1101
546	1327	1099
547	1330	1097
548	1332	1094
549	1335	1092
550	1336	1089
551	1339	1086
552	1342	1084
553	1344	1082
554	1345	1079
555	1346	1075
556	1349	1073
557	1351	1070
558	1354	1068
559	1356	1065
560	1358	1063
561	1361	1061
562	1363	1058
563	1366	1056
564	1367	1052
565	1370	1050
566	1372	1048
567	1374	1045
568	1377	1043
569	1379	1040
570	1380	1037
571	1383	1035
572	1385	1032
573	1385	1028
574	1387	1025
575	1389	1022
576	1391	1020
577	1394	1018
578	1396	1015
579	1397	1012
580	1400	1009
581	1401	1006
582	1401	1002
583	1402	999
584	1403	995
585	1405	993
586	1408	990
587	1410	988
588	1412	985
589	1415	983
590	1417	981
591	1419	978
592	1422	976
593	1423	972
594	1425	970
595	1427	967
596	1429	965
597	1431	962
598	1434	960
599	1436	957
600	1437	954
601	1440	952
602	1442	949
603	1444	947
604	1447	944
605	1449	942
606	1451	939
607	1453	936
608	1455	934
609	1458	932
610	1458	928
611	1461	926
612	1463	924
613	1465	921
614	1467	918
615	1468	915
616	1470	912
617	1472	910
618	1473	906
619	1475	904
620	1477	902
621	1480	899
622	1482	897
623	1484	894
624	1485	891
625	1487	888
626	1488	885
627	1490	883
628	1491	879
629	1493	877
630	1496	874
631	1498	872
632	1499	869
633	1500	866
634	1501	863
635	1503	860
636	1505	857
637	1506	854
638	1508	852
639	1509	848
640	1509	845
641	1512	843
642	1514	840
643	1515	837
644	1517	835
645	1519	832
646	1520	829
647	1521	826
648	1524	824
649	1526	821
650	1527	818
651	1530	816
652	1532	814
653	1535	812
654	1536	809
655	1537	806
656	1539	803
657	1541	801
658	1543	798
659	1545	796
660	1548	793
661	1550	791
662	1551	788
663	1551	785
664	1554	782
665	1556	780
666	1557	777
667	1558	774
668	1560	771
669	1562	769
670	1564	767
671	1567	764
672	1568	761
673	1569	759
674	1572	756
675	1572	753
676	1575	751
677	1577	749
678	1579	746
679	1582	744
680	1584	742
681	1585	739
682	1587	736
683	1590	734
684	1592	732
685	1593	729
686	1595	727
687	1598	724
688	1600	722
689	1602	720
690	1605	717
691	1607	715
692	1608	712
693	1610	710
694	1611	707
695	1614	704
696	1614	701
697	1616	699
698	1617	696
699	1620	694
700	1620	691
701	1623	689
702	1625	686
703	1627	684
704	1628	681
705	1631	679
706	1633	677
707	1636	674
708	1638	672
709	1640	670
710	1643	667
711	1645	665
712	1647	663
713	1650	661
714	1651	658
715	1652	655
716	1654	652
717	1656	650
718	1658	648
719	1660	645
720	1662	643
721	1664	641
722	1667	638
723	1667	635
724	1668	633
725	1671	630
726	1673	628
727	1675	626
728	1677	623
729	1680	621
730	1682	619
731	1684	616
732	1685	613
733	1686	611
734	1688	608
735	1691	606
736	1693	604
737	1695	602
738	1698	599
739	1700	597
740	1702	595
741	1704	592
742	1706	590
743	1709	588
744	1710	585
745	1711	582
746	1712	580
747	1715	577
748	1717	575
749	1720	573
750	1722	571
751	1725	568
752	1727	566
753	1728	564
754	1731	561
755	1732	559
756	1735	557
757	1736	554
758	1738	552
759	1741	549
760	1743	547
761	1746	545
762	1747	542
763	1747	539
764	1748	537
765	1750	534
766	1753	532
767	1754	529
768	1754	527
769	1757	524
770	1758	522
771	1761	520
772	1763	517
773	1764	515
774	1767	513
775	1770	511
776	1773	508
777	1775	506
778	1776	503
779	1778	501
780	1781	499
781	1783	497
782	1784	494
783	1787	492
784	1789	490
785	1792	488
786	1794	485
787	1796	483
788	1799	481
789	1802	479
790	1805	476
791	1807	474
792	1810	472
793	1811	469
794	1814	467
795	1817	465
796	1820	463
797	1823	461
798	1828	459
799	1829	457
800	1831	454
801	1834	452
802	1838	451
803	1844	449
804	1849	447
805	1850	445
806	1851	442
807	1855	440
808	1859	439
809	1863	437
810	1865	434
811	1867	432
812	1871	430
813	1874	428
814	1877	426
815	1882	424
816	1885	422
817	1889	420
818	1894	418
819	1897	416
820	1902	414
821	1905	412
822	1909	410
823	1912	408
824	1916	406
825	1921	404
826	1926	402
827	1929	400
828	1932	398
829	1935	396
830	1938	394
831	1940	391
832	1943	389
833	1946	387
834	1949	385
835	1951	382
836	1955	380
837	1961	379
838	1962	376
839	1963	374
840	1964	371
841	1968	369
842	1970	367
843	1973	364
844	1976	362
845	1978	360
846	1981	357
847	1982	355
848	1984	352
849	1987	350
850	1989	348
851	1992	346
852	1993	343
853	1995	341
854	1998	338
855	2001	336
856	2003	334
857	2005	331
858	2008	329
859	2010	327
860	2013	325
861	2015	322
862	2017	320
863	2020	317
864	2022	315
865	2024	313
866	2027	310
867	2029	308
868	2031	306
869	2033	303
870	2035	301
871	2037	299
872	2038	296
873	2040	294
874	2043	291
875	2045	289
876	2047	287
877	2050	284
878	2052	282
879	2053	280
880	2056	277
881	2058	275
882	2059	272
883	2061	270
884	2063	268
885	2066	265
886	2068	263
887	2070	261
888	2073	258
889	2073	256
890	2076	253
891	2078	251
892	2081	249
893	2083	247
894	2085	244
895	2088	242
896	2090	240
897	2092	237
898	2095	235
899	2097	233
900	2098	230
901	2100	228
902	2101	225
903	2103	223
904	2106	221
905	2107	218
906	2109	216
907	2110	213
908	2113	211
909	2114	209
910	2115	206
911	2117	204
912	2118	201
913	2118	199
914	2121	197
915	2123	194
916	2125	192
917	2125	189
918	2128	187
919	2130	185
920	2132	182
921	2135	180
922	2137	178
923	2138	175
924	2139	173
925	2141	171
926	2144	168
927	2146	166
928	2148	164
929	2150	161
930	2154	159
931	2157	157
932	2159	155
933	2161	152
934	2164	150
935	2166	148
936	2169	145
937	2170	143
938	2172	141
939	2175	138
940	2178	136
941	2180	134
942	2183	131
943	2185	129
944	2188	127
945	2190	125
946	2193	122
947	2195	120
948	2196	118
949	2199	115
950	2201	113
951	2204	111
952	2205	108
953	2208	106
954	2208	104
955	2211	101
956	2214	99
957	2216	97
958	2219	94
959	2222	92
960	2224	90
961	2228	88
962	2231	85
963	2234	83
964	2236	81
965	2239	78
966	2241	76
967	2243	74
968	2244	71
969	2247	69
970	2250	67
971	2253	64
972	2256	62
973	2258	60
974	2261	57
975	2264	55
976	2265	53
977	2268	51
978	2271	48
979	2274	46
980	2277	44
981	2280	41
982	2283	39
983	2286	37
984	2289	34
985	2292	32
986	2296	30
987	2299	27
988	2303	25
989	2307	23
990	2309	20
991	2313	18
992	2317	16
993	2322	14
994	2325	11
995	2330	9
996	2333	7
997	2336	4
998	2339	2
999	2340	0
